"","x"
"1",-0.00194006171256531
"2",-0.00902986849635876
"3",-0.0169606249788815
"4",-0.0241567753737737
"5",-0.0344040247808084
"6",-0.0464586992223321
"7",-0.0550385615312727
"8",-0.0637973981868003
"9",-0.0732671270415194
"10",-0.0826362150953009
"11",-0.0971520284517694
"12",-0.112262385420672
"13",-0.121098350914866
"14",-0.127954787573636
"15",-0.134099205045754
"16",-0.138322279781623
"17",-0.145652717278621
"18",-0.154441733165323
"19",-0.156911730127399
"20",-0.154142641110536
"21",-0.152459360587854
"22",-0.14763351706282
"23",-0.151462753650966
"24",-0.14496270683664
"25",-0.134462917522326
"26",-0.1235419206006
"27",-0.100015987111042
"28",-0.070845696014689
"29",-0.0509872339181471
"30",-0.0282633573503122
"31",-0.00760967791489259
"32",0.00963169929611465
"33",0.0290264192264393
"34",0.0456846452759844
"35",0.0645339459046245
"36",0.0889790188000843
"37",0.116571492480059
"38",0.137360368881948
"39",0.164473255820378
"40",0.187033874935748
"41",0.209850288196079
"42",0.235457804603324
"43",0.244748444419443
"44",0.254123051494169
"45",0.257602483071489
"46",0.258227027360424
"47",0.255236145724658
"48",0.260146345693574
"49",0.259562495575063
"50",0.262874683437314
"51",0.25920926828688
"52",0.247916284717256
"53",0.24257587555902
"54",0.241541236624894
"55",0.230825228412091
"56",0.215735224010736
"57",0.202999033029238
"58",0.186848377183324
"59",0.162133466318615
"60",0.144269023174313
"61",0.135231327595872
"62",0.123199891941256
"63",0.112295101062115
"64",0.0990987790343032
"65",0.0867929455059604
"66",0.0619911406395817
"67",0.0358602059157927
"68",0.00463480546590627
"69",-0.0324818312300471
"70",-0.065786292236677
"71",-0.0902649286241241
"72",-0.119015978253472
"73",-0.149418564808604
"74",-0.178778235923096
"75",-0.213080822677538
"76",-0.237333962236259
"77",-0.264283848862224
"78",-0.292411939852545
"79",-0.322190035628364
"80",-0.359235062766146
"81",-0.391930557699607
"82",-0.416787752787262
"83",-0.433422503861775
"84",-0.450920918944504
"85",-0.474138190591738
"86",-0.502833754238237
"87",-0.543894027644384
"88",-0.590233388169969
"89",-0.648618359975489
"90",-0.717554446910249
"91",-0.775122968313721
"92",-0.842311253626379
"93",-0.913184564071782
"94",-0.973055894628856
"95",-1.02796077271159
"96",-1.07697429502703
"97",-1.12758887045453
"98",-1.17355238216781
"99",-1.2236620900316
"100",-1.26651794690503
"101",-1.30387075565913
"102",-1.34554284198635
"103",-1.38986936513813
"104",-1.43646541097638
"105",-1.48899486518511
"106",-1.54971242122881
"107",-1.59712224846409
"108",-1.65161299794189
"109",-1.70378593018711
"110",-1.74439782069411
"111",-1.79263871539726
"112",-1.84505477987788
"113",-1.90921249604359
"114",-1.99004278425243
"115",-2.06633862583973
"116",-2.14240182303829
"117",-2.23298973482538
"118",-2.33274365576504
"119",-2.4277115031789
"120",-2.51860899763897
"121",-2.61033948481675
"122",-2.68671074772229
"123",-2.76816645626096
"124",-2.84319491121029
"125",-2.9014573410359
"126",-2.96543482532314
"127",-3.02769266587492
"128",-3.10824533579438
"129",-3.18798536923398
"130",-3.26869990254642
"131",-3.33715660331096
"132",-3.41963911961331
"133",-3.49172560394086
"134",-3.55102020604774
"135",-3.61941856704607
"136",-3.68592032134324
"137",-3.73105872842242
"138",-3.76597512787877
"139",-3.7874170299669
"140",-3.82088724470939
"141",-3.85606306995505
"142",-3.88700094489618
"143",-3.90546105816872
"144",-3.9163830202795
"145",-3.93434363810758
"146",-3.94981719484054
"147",-3.9705189127291
"148",-3.98334184628159
"149",-4.0001208188576
"150",-4.00867532250827
"151",-4.00509847072017
"152",-4.00186318086908
"153",-3.99912467175526
"154",-3.99304259423479
"155",-3.97561418049557
"156",-3.96815349637768
"157",-3.94582618694169
"158",-3.92820550000939
"159",-3.91948981250723
"160",-3.91056780673403
"161",-3.90577685392727
"162",-3.91584176502604
"163",-3.91155781067859
"164",-3.91242381810203
"165",-3.9155617063989
"166",-3.91594446918757
"167",-3.91367088705709
"168",-3.90687464886296
"169",-3.90519528166305
"170",-3.92713702271996
"171",-3.96768877161121
"172",-4.00409584928373
"173",-4.03995069945677
"174",-4.0725914427248
"175",-4.1023605678833
"176",-4.14008602955231
"177",-4.17697199056282
"178",-4.20869285866936
"179",-4.24272157212663
"180",-4.27936825263586
"181",-4.30920974984615
"182",-4.34203286984484
"183",-4.37571835246139
"184",-4.42602540280687
"185",-4.46465924396717
"186",-4.50721620149749
"187",-4.5427099357865
"188",-4.57858025412914
"189",-4.6238342836008
"190",-4.6463692000324
"191",-4.66620002192957
"192",-4.68921472362325
"193",-4.71593833935109
"194",-4.74032867127158
"195",-4.75937905563696
"196",-4.78902428344306
"197",-4.81770114500504
"198",-4.86445222639729
"199",-4.90412843246472
"200",-4.92482470361636
"201",-4.94975195800629
"202",-4.9902659731993
"203",-5.03640411259176
"204",-5.06909133898425
"205",-5.11893761869465
"206",-5.18141152150255
"207",-5.26374375445461
"208",-5.32827442402027
"209",-5.40833803110785
"210",-5.49338876865527
"211",-5.56613759284611
"212",-5.62463417768962
"213",-5.68703100248616
"214",-5.75625808771996
"215",-5.83258042415306
"216",-5.91008965085302
"217",-6.00022841225162
"218",-6.08969074852207
"219",-6.182974754197
"220",-6.2584026743663
"221",-6.32093949591685
"222",-6.37196385586004
"223",-6.43444658311101
"224",-6.48700291841399
"225",-6.54390827478312
"226",-6.60064496146445
"227",-6.68094473565894
"228",-6.75920005755157
"229",-6.85131058896779
"230",-6.96055947492211
"231",-7.06071979800446
"232",-7.15123076276739
"233",-7.24035709255191
"234",-7.33699629577313
"235",-7.42479777971289
"236",-7.51256149376447
"237",-7.60051241461039
"238",-7.68837502434368
"239",-7.78958994225851
"240",-7.90290313017626
"241",-8.01679782280309
"242",-8.12548437911451
"243",-8.22710651837743
"244",-8.34393969344279
"245",-8.44520759524687
"246",-8.54130780790022
"247",-8.63355833480308
"248",-8.72261585593204
"249",-8.79687709201427
"250",-8.8798910616472
"251",-8.96801783910198
"252",-9.06169303695741
"253",-9.1364191214257
"254",-9.20104732778946
"255",-9.2621410161396
"256",-9.32487965884102
"257",-9.40442951045507
"258",-9.49221715067606
"259",-9.58552797006322
"260",-9.68349006564045
"261",-9.79386097272256
"262",-9.90759078206686
"263",-10.0244372595914
"264",-10.1433725735044
"265",-10.2354581444911
"266",-10.3145449227402
"267",-10.3853039791574
"268",-10.4599621500525
"269",-10.5477237873601
"270",-10.6358445876774
"271",-10.7287455032452
"272",-10.8136775276316
"273",-10.9106206180441
"274",-11.0041792118175
"275",-11.1010198430615
"276",-11.2026786829468
"277",-11.2994385402879
"278",-11.3753566209106
"279",-11.428720636481
"280",-11.4883991882021
"281",-11.5414868393455
"282",-11.598051979301
"283",-11.6425712795979
"284",-11.680155998933
"285",-11.7409996741891
"286",-11.7981174262996
"287",-11.8529313264304
"288",-11.905300241583
"289",-11.9533775938174
"290",-12.0013783323766
"291",-12.0423706252736
"292",-12.0674906129388
"293",-12.0911132898625
"294",-12.1211972228295
"295",-12.1862910292113
"296",-12.2518717336239
"297",-12.3075069282472
"298",-12.3417632005733
"299",-12.3817625419113
"300",-12.4220585999438
"301",-12.4681262551914
